timestamp,ticker,ask,avg_fair_prb,edge,buy_direction,tp,sl,kelly,optimal_bet,num_contracts,ev
2025-12-31T16:34:42.754312Z,KXNCAAMBGAME-25DEC31LMDAMER-AMER,0.8,0.8309,3.0899999999999928,yes,0.93,0.7,0.6231932773109234,218.12,272.0,6.9797999999999805
2025-12-31T16:34:42.755228Z,KXNCAAMBGAME-25DEC31LAMETAM-ETAM,0.67,0.6835,1.3499999999999956,no,0.78,0.57,0.2629823788546251,92.04,137.0,0.8094999999999946
2025-12-31T16:34:42.755381Z,KXNCAAMBGAME-25DEC31BUCKHC-HC,0.55,0.5637,1.3699999999999934,no,0.66,0.45,0.21869393139841597,76.54,139.0,0.7142999999999904
2025-12-31T16:34:42.755497Z,KXNCAAMBGAME-25DEC31WINLONG-LONG,0.76,0.7714,1.1399999999999966,no,0.87,0.66,0.25665350089766537,89.83,118.0,0.6101999999999957
2025-12-31T16:34:42.755600Z,KXNCAAMBGAME-25DEC31GWRICH-RICH,0.58,0.5967,1.6700000000000048,no,0.7,0.48,0.2738971722365045,95.86,165.0,1.3705000000000076
2025-12-31T17:10:48.510303Z,KXNCAAMBGAME-25DEC31LMDAMER-AMER,0.8,0.8309,3.0899999999999928,yes,0.93,0.7,0.6231932773109234,218.12,272.0,6.9797999999999805
2025-12-31T17:10:48.510767Z,KXNCAAMBGAME-25DEC31LAMETAM-ETAM,0.67,0.6835,1.3499999999999956,no,0.78,0.57,0.2629823788546251,92.04,137.0,0.8094999999999946
2025-12-31T17:10:48.510975Z,KXNCAAMBGAME-25DEC31BUCKHC-HC,0.55,0.5637,1.3699999999999934,no,0.66,0.45,0.21869393139841597,76.54,139.0,0.7142999999999904
2025-12-31T17:10:48.511099Z,KXNCAAMBGAME-25DEC31WINLONG-LONG,0.76,0.7714,1.1399999999999966,no,0.87,0.66,0.25665350089766537,89.83,118.0,0.6101999999999957
2025-12-31T17:10:48.511207Z,KXNCAAMBGAME-25DEC31GWRICH-RICH,0.58,0.5967,1.6700000000000048,no,0.7,0.48,0.2738971722365045,95.86,165.0,1.3705000000000076
