timestamp,ticker,title,status,market_type,yes_bid,yes_ask,yes_ask2,no_bid,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-10-21T15:24:24.763221Z,KXNBA-26-NYK,Will the New York win the 2026 Pro Basketball Finals?,active,binary,0.06,0.09,,0.91,0.94,,0.03,0.03,6,32,3493964.09,78815.0
2025-10-21T15:24:24.836796Z,KXNBA-26-ORL,Will the Orlando win the 2026 Pro Basketball Finals?,active,binary,0.03,0.04,,0.96,0.97,,0.01,0.01,3,30,2759841.86,3205.0
2025-10-21T15:24:24.910888Z,KXNBA-26-LAL,Will the Los Angeles L win the 2026 Pro Basketball Finals?,active,binary,0.06,0.07,,0.93,0.94,,0.01,0.01,6,28,2633535.98,12982.0
2025-10-21T15:24:24.986634Z,KXNBA-26-OKC,Will the Oklahoma City win the 2026 Pro Basketball Finals?,active,binary,0.28,0.29,,0.71,0.72,,0.01,0.01,21,26,2512401.42,16742.0
2025-10-21T15:24:25.065852Z,KXNBA-26-MIN,Will the Minnesota win the 2026 Pro Basketball Finals?,active,binary,0.04,0.05,,0.95,0.96,,0.01,0.01,3,32,2447899.92,4324.0
2025-10-21T15:24:25.146132Z,KXNBA-26-PHI,Will the Philadelphia win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,,0.97,0.98,,0.01,0.01,2,30,2405242.06,1900.0
2025-10-21T15:24:25.223251Z,KXNBA-26-LAC,Will the Los Angeles C win the 2026 Pro Basketball Finals?,active,binary,0.04,0.05,,0.95,0.96,,0.01,0.01,3,27,2403207.35,2160.0
2025-10-21T15:24:25.302804Z,KXNBA-26-SAS,Will the San Antonio win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,,0.97,0.98,,0.01,0.01,2,29,2286691.97,30907.0
2025-10-21T15:24:25.389896Z,KXNBA-26-NOP,Will the New Orleans win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,,0.01,0.01,0,28,2250366.51,3740.0
2025-10-21T15:24:25.473931Z,KXNBA-26-MIL,Will the Milwaukee win the 2026 Pro Basketball Finals?,active,binary,0.01,0.02,,0.98,0.99,,0.01,0.01,1,29,2236653.52,13061.0
2025-10-21T15:24:25.544996Z,KXNBA-26-GSW,Will the Golden State win the 2026 Pro Basketball Finals?,active,binary,0.05,0.06,,0.94,0.95,,0.01,0.01,5,29,2208988.41,9153.0
2025-10-21T15:24:25.617411Z,KXNBA-26-BKN,Will the Brooklyn win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,,0.01,0.01,0,30,2197142.72,0.0
2025-10-21T15:24:25.685547Z,KXNBA-26-DAL,Will the Dallas win the 2026 Pro Basketball Finals?,active,binary,0.03,0.04,,0.96,0.97,,0.01,0.01,3,30,2189628.62,6873.0
2025-10-21T15:24:26.108127Z,KXNBA-26-ATL,Will the Atlanta win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,,0.97,0.98,,0.01,0.01,2,28,2174103.88,2100.0
2025-10-21T15:24:26.187871Z,KXNBA-26-POR,Will the Portland win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,,0.01,0.01,0,28,2153722.88,0.0
