timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h,odds_home_team,odds_away_team,odds_start_time,odds_market_type,odds_team,odds_price,odds_point,odds_last_fetch_time
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14BUTXAV-BUT7,Butler wins by over 7.5 Points?,active,binary,,0.25,0.32,0.68,0.75,1156663.37,290.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14BUTXAV-BUT4,Butler wins by over 4.5 Points?,active,binary,,0.4,0.42,0.58,0.6,1177227.98,1204.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14BUTXAV-BUT16,Butler wins by over 16.5 Points?,active,binary,,0.03,0.11,0.89,0.97,1537798.35,45.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14BUTXAV-BUT13,Butler wins by over 13.5 Points?,active,binary,,0.14,0.15,0.85,0.86,1318619.98,1844.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14BUTXAV-BUT10,Butler wins by over 10.5 Points?,active,binary,,0.15,0.23,0.77,0.85,1028394.42,24.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14BUTXAV-BUT1,Butler wins by over 1.5 Points?,active,binary,,0.51,0.52,0.48,0.49,1318009.6,27113.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14ETSUWCU-ETSU8,East Tennessee St. wins by over 8.5 Points?,active,binary,,0.27,0.29,0.71,0.73,1103878.96,4149.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14ETSUWCU-ETSU5,East Tennessee St. wins by over 5.5 Points?,active,binary,,0.42,0.47,0.53,0.58,1061673.99,6162.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14ETSUWCU-ETSU2,East Tennessee St. wins by over 2.5 Points?,active,binary,,0.54,0.61,0.39,0.46,1106637.15,48.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14CHATWOF-WOF8,Wofford wins by over 8.5 Points?,active,binary,,0.08,0.88,0.12,0.92,1103940.41,634.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14CHATWOF-WOF5,Wofford wins by over 5.5 Points?,active,binary,,0.14,0.84,0.16,0.86,1059528.81,5283.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14CHATWOF-WOF2,Wofford wins by over 2.5 Points?,active,binary,,0.24,0.88,0.12,0.76,1101704.25,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBSPREAD-26JAN14VCUURI-VCU7,VCU wins by over 7.5 Points?,active,binary,,0.39,0.52,0.48,0.61,1098806.14,8522.0,,,,,,,,
