timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h
2026-01-12T18:21:57.954573-05:00,KXNBAGAME-26JAN12UTACLE-CLE,Utah at Cleveland Winner?,active,binary,,0.81,0.82,,,,
2026-01-12T18:21:57.954824-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:21:57.955070-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU3,Houston wins by over 3.5 points?,active,binary,,0.43,0.44,,,,
2026-01-12T18:21:57.955309-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:21:57.955501-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.4,0.42,,,,
2026-01-12T18:21:58.993294-05:00,KXNBAGAME-26JAN12UTACLE-CLE,Utah at Cleveland Winner?,active,binary,,0.81,0.82,,,,
2026-01-12T18:21:58.993562-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU1,North Carolina Central wins by over 1.5 Points?,active,binary,,0.6,0.62,,,,
2026-01-12T18:21:58.993813-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-MORG2,Morgan St. wins by over 2.5 Points?,active,binary,,0.33,0.34,,,,
2026-01-12T18:21:58.993932-05:00,KXNBAGAME-26JAN12BOSIND-IND,Boston at Indiana Winner?,active,binary,,0.34,0.35,,,,
2026-01-12T18:21:58.994018-05:00,KXNBAGAME-26JAN12LALSAC-SAC,Los Angeles L at Sacramento Winner?,active,binary,,0.24,0.25,,,,
2026-01-12T18:21:58.994086-05:00,KXNCAAMBSPREAD-26JAN12SCSTCOPP-COPP2,Coppin St. wins by over 2.5 Points?,active,binary,,0.37,0.4,,,,
2026-01-12T18:21:58.994141-05:00,KXNBAGAME-26JAN12CHALAC-LAC,Charlotte at Los Angeles C Winner?,active,binary,,0.63,0.64,,,,
2026-01-12T18:21:58.994205-05:00,KXNBAGAME-26JAN12CHALAC-CHA,Charlotte at Los Angeles C Winner?,active,binary,,0.36,0.37,,,,
2026-01-12T18:21:58.994260-05:00,KXNBASPREAD-26JAN12CHALAC-LAC4,Los Angeles C wins by over 4.5 Points?,active,binary,,0.52,0.54,,,,
2026-01-12T18:21:58.994314-05:00,KXNBATOTAL-26JAN12UTACLE-235,Utah at Cleveland: Total Points,active,binary,,0.75,0.78,,,,
2026-01-12T18:21:58.994384-05:00,KXNCAAMBGAME-26JAN12ALCNALST-ALCN,Alcorn St. at Alabama St. Winner?,active,binary,,0.21,0.22,,,,
2026-01-12T18:21:58.994468-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.4,0.42,,,,
2026-01-12T18:21:58.994521-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:21:58.994602-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU4,North Carolina Central wins by over 4.5 Points?,active,binary,,0.42,0.45,,,,
2026-01-12T18:21:58.994677-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:00.016536-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-148,North Carolina Central at Morgan St.: Total Points,active,binary,,0.38,0.4,,,,
2026-01-12T18:22:00.017001-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-NCCU,North Carolina Central at Morgan St. Winner?,active,binary,,0.62,0.63,,,,
2026-01-12T18:22:00.017267-05:00,KXNBAGAME-26JAN12BKNDAL-DAL,Brooklyn at Dallas Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:00.017432-05:00,KXNBAGAME-26JAN12BKNDAL-BKN,Brooklyn at Dallas Winner?,active,binary,,0.4,0.41,,,,
2026-01-12T18:22:00.017568-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU3,Houston wins by over 3.5 points?,active,binary,,0.43,0.44,,,,
2026-01-12T18:22:00.017694-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU2,Houston wins by over 2.5 points?,active,binary,,0.53,0.54,,,,
2026-01-12T18:22:00.017806-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU4,North Carolina Central wins by over 4.5 Points?,active,binary,,0.42,0.45,,,,
2026-01-12T18:22:00.017913-05:00,KXNBASPREAD-26JAN12BOSIND-BOS12,Boston wins by over 12.5 Points?,active,binary,,0.27,0.31,,,,
2026-01-12T18:22:00.018065-05:00,KXNBATOTAL-26JAN12PHITOR-220,Philadelphia at Toronto: Total Points,active,binary,,0.49,0.51,,,,
2026-01-12T18:22:00.018204-05:00,KXNBAGAME-26JAN12BOSIND-BOS,Boston at Indiana Winner?,active,binary,,0.65,0.66,,,,
2026-01-12T18:22:00.018328-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.4,0.42,,,,
2026-01-12T18:22:00.018477-05:00,KXNBAGAME-26JAN12CHALAC-LAC,Charlotte at Los Angeles C Winner?,active,binary,,0.63,0.64,,,,
2026-01-12T18:22:00.018623-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:00.018767-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:00.018918-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-MORG,North Carolina Central at Morgan St. Winner?,active,binary,,0.39,0.42,,,,
2026-01-12T18:22:01.040136-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-MORG,North Carolina Central at Morgan St. Winner?,active,binary,,0.39,0.42,,,,
2026-01-12T18:22:01.040419-05:00,KXNBASPREAD-26JAN12BOSIND-BOS15,Boston wins by over 15.5 Points?,active,binary,,0.21,0.24,,,,
2026-01-12T18:22:01.040670-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.4,0.42,,,,
2026-01-12T18:22:01.040782-05:00,KXNCAAMBGAME-26JAN12SCSTCOPP-SCST,South Carolina St. at Coppin St. Winner?,active,binary,,0.52,0.54,,,,
2026-01-12T18:22:01.040862-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU3,Houston wins by over 3.5 points?,active,binary,,0.43,0.44,,,,
2026-01-12T18:22:01.040924-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU2,Houston wins by over 2.5 points?,active,binary,,0.53,0.54,,,,
2026-01-12T18:22:01.040980-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:01.041050-05:00,KXNCAAMBSPREAD-26JAN12UMESNORF-NORF8,Norfolk St. wins by over 8.5 Points?,active,binary,,0.38,0.42,,,,
2026-01-12T18:22:01.041138-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:02.065854-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU1,North Carolina Central wins by over 1.5 Points?,active,binary,,0.6,0.62,,,,
2026-01-12T18:22:02.066496-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-MORG2,Morgan St. wins by over 2.5 Points?,active,binary,,0.33,0.34,,,,
2026-01-12T18:22:02.066866-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU4,North Carolina Central wins by over 4.5 Points?,active,binary,,0.42,0.45,,,,
2026-01-12T18:22:02.067174-05:00,KXNBAGAME-26JAN12PHITOR-TOR,Philadelphia at Toronto Winner?,active,binary,,0.42,0.43,,,,
2026-01-12T18:22:02.067476-05:00,KXNCAAMBSPREAD-26JAN12UTRGVNWST-UTRGV2,UT Rio Grande Valley wins by over 2.5 Points?,active,binary,,0.49,0.52,,,,
2026-01-12T18:22:02.067749-05:00,KXNBAGAME-26JAN12CHALAC-CHA,Charlotte at Los Angeles C Winner?,active,binary,,0.36,0.37,,,,
