timestamp,sport_name,sport_id,league_id,league_name,event_id,event_type,live_status_id,starts,home_team,away_team,is_have_odds,moneyline_home,moneyline_draw,moneyline_away,spread_points,spread_home_price,spread_away_price,total_points,total_over_price,total_under_price,team_total_home_points,team_total_home_over,team_total_home_under,team_total_away_points,team_total_away_over,team_total_away_under,open_money_line,open_spreads,open_totals,open_team_total
2025-10-26T19:07:09.518016Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.074,,8.44,-11.5,1.684,2.14,225.0,1.769,1.99,119.5,1.847,1.877,106.5,1.9,1.826,False,False,False,False
2025-10-26T19:07:20.614134Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.065,,9.1,-12.0,1.684,2.14,225.0,1.775,1.99,119.5,1.813,1.909,106.5,1.943,1.787,False,False,False,False
2025-10-26T19:07:31.671115Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.07,,8.67,-11.5,1.666,2.17,225.0,1.74,2.02,119.5,1.813,1.909,106.5,1.892,1.833,True,True,True,True
2025-10-26T19:07:42.797358Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.093,,7.28,-10.5,1.729,2.09,225.0,1.735,2.03,119.5,1.9,1.826,106.5,1.8,1.925,True,True,True,True
2025-10-26T19:08:22.102422Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.07,,8.67,-11.5,1.671,2.16,223.5,1.751,2.01,118.5,1.793,1.934,105.5,1.862,1.862,True,True,True,True
2025-10-26T19:09:34.928918Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.065,,10.8,-12.0,1.666,2.26,224.5,1.769,2.07,119.5,1.84,1.97,105.5,1.862,1.952,True,True,True,True
2025-10-26T19:09:46.845743Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.069,,10.3,-11.5,1.68,2.23,224.5,1.769,2.07,119.5,1.877,1.934,105.5,1.826,1.99,True,True,True,True
2025-10-26T19:10:37.231034Z,Basketball,3,487,NBA,1618384702,live,1,2025-10-26T18:00:00,San Antonio Spurs,Brooklyn Nets,True,1.062,,9.42,-11.5,1.588,2.34,225.0,1.763,2.0,119.5,1.819,1.909,106.5,1.934,1.793,True,True,True,True
2025-10-26T19:10:37.741009Z,American Football,7,889,NFL,1617930095,live,1,2025-10-26T17:00:00,Carolina Panthers,Buffalo Bills,True,,,,29.5,2.38,1.588,49.5,1.636,2.24,,,,,,,False,True,True,False
2025-10-26T19:10:37.741075Z,American Football,7,889,NFL,1617930158,live,1,2025-10-26T17:00:00,Philadelphia Eagles,New York Giants,True,1.047,,13.07,-13.0,1.781,2.02,47.0,1.689,2.11,30.5,1.68,2.16,17.5,2.41,1.552,False,False,False,False
2025-10-26T19:10:37.741090Z,American Football,7,889,NFL,1617930092,live,1,2025-10-26T17:00:00,Baltimore Ravens,Chicago Bears,True,1.363,,3.23,-3.0,1.598,2.33,38.0,1.854,1.917,22.5,2.01,1.746,17.5,2.0,1.751,False,False,False,False
2025-10-26T19:10:37.741099Z,American Football,7,889,NFL,1617930106,live,1,2025-10-26T17:00:00,Atlanta Falcons,Miami Dolphins,True,,,,19.0,1.892,1.892,39.0,1.694,2.1,10.5,2.5,1.512,27.5,1.826,1.961,False,False,False,False
2025-10-26T19:10:37.741112Z,American Football,7,889,NFL,1617930168,live,1,2025-10-26T17:00:00,New England Patriots,Cleveland Browns,True,,,,-17.0,1.704,2.13,38.5,1.729,2.05,29.5,1.709,2.12,11.5,2.07,1.746,False,False,False,False
2025-10-26T19:10:37.741124Z,American Football,7,889,NFL,1617930085,live,1,2025-10-26T17:00:00,Cincinnati Bengals,New York Jets,True,1.078,,8.53,-8.5,1.793,2.0,53.5,1.578,2.3,33.5,1.9,1.884,22.5,1.781,2.02,True,True,True,True
